,HomeTeam
626,Club Brugge
627,St. Gilloise
628,Oostende
629,Waregem
630,Standard
631,St Truiden
632,Beerschot VA
633,Charleroi
634,Gent
635,Seraing
636,Cercle Brugge
637,Kortrijk
638,Mechelen
639,Eupen
640,Antwerp
641,Anderlecht
642,Genk
643,Oud-Heverlee Leuven
644,Oostende
645,Charleroi
646,Beerschot VA
647,Standard
648,St Truiden
649,Waregem
650,Cercle Brugge
651,Anderlecht
652,Gent
653,Go Ahead Eagles
654,Waalwijk
655,Heracles
656,For Sittard
657,Ajax
658,Cambuur
659,Utrecht
660,Zwolle
661,Willem II
662,Nijmegen
663,Heerenveen
664,PSV Eindhoven
665,Sparta Rotterdam
666,Groningen
667,Twente
668,Feyenoord
669,Vitesse
670,For Sittard
671,Cambuur
672,Go Ahead Eagles
673,PSV Eindhoven
674,Willem II
675,Utrecht
676,Ajax
677,Heracles
678,Heerenveen
679,Twente
680,Cambuur
681,Zwolle
682,AZ Alkmaar
683,Nijmegen
684,Groningen
685,Sparta Rotterdam
686,Waalwijk
687,Sparta Rotterdam
688,Heerenveen
689,Willem II
690,Ajax
691,Utrecht
692,Go Ahead Eagles
693,PSV Eindhoven
694,Heracles
695,Vitesse
696,For Sittard
697,Waalwijk
698,Go Ahead Eagles
699,Nijmegen
700,Groningen
701,Feyenoord
702,Zwolle
703,Cambuur
704,Twente
705,Willem II
706,Ajax
707,Vitesse
708,Feyenoord
709,Utrecht
710,Sparta Rotterdam
711,AZ Alkmaar
712,Heerenveen
713,Heracles
714,Groningen
715,Waalwijk
716,Heracles
717,Zwolle
718,For Sittard
719,Ajax
720,Cambuur
721,Vitesse
722,PSV Eindhoven
723,Feyenoord
724,Go Ahead Eagles
725,Heerenveen
726,For Sittard
727,PSV Eindhoven
728,AZ Alkmaar
729,Nijmegen
730,Sparta Rotterdam
731,Twente
732,Willem II
733,Utrecht
734,Zwolle
735,Waalwijk
736,Twente
737,Cambuur
738,Vitesse
739,Ajax
740,Groningen
741,PSV Eindhoven
742,Heracles
743,Heerenveen
744,AZ Alkmaar
745,Sparta Rotterdam
746,Nijmegen
747,Utrecht
748,Waalwijk
749,Go Ahead Eagles
750,Sp Lisbon
751,Arouca
752,Moreirense
753,Maritimo
754,Guimaraes
755,Tondela
756,Porto
757,Pacos Ferreira
758,Gil Vicente
759,Estoril
760,Vizela
761,Benfica
762,Sp Braga
763,Portimonense
764,Famalicao
765,Santa Clara
766,Boavista
767,Belenenses
768,Arouca
769,Moreirense
770,Gil Vicente
771,Sp Lisbon
772,Tondela
773,Maritimo
774,Guimaraes
775,Pacos Ferreira
776,Boavista
777,Belenenses
778,Estoril
779,Vizela
780,Porto
781,Famalicao
782,Benfica
783,Sp Braga
784,Portimonense
785,Santa Clara
786,Pacos Ferreira
787,Santa Clara
788,Sp Lisbon
789,Moreirense
790,Boavista
791,Gil Vicente
792,Guimaraes
793,Maritimo
794,Tondela
795,Portimonense
796,Famalicao
797,Belenenses
798,Arouca
799,Vizela
800,Porto
801,Estoril
802,Benfica
803,Sp Braga
804,Sp Lisbon
805,Gil Vicente
806,Moreirense
807,Guimaraes
808,Tondela
809,Santa Clara
810,Portimonense
811,Pacos Ferreira
812,Boavista
813,Maritimo
814,Famalicao
815,Vizela
816,Porto
817,Arouca
818,Belenenses
819,Benfica
820,Estoril
821,Sp Braga
822,Guimaraes
