,HomeTeam
693,PSV Eindhoven
694,Heracles
695,Vitesse
696,For Sittard
697,Waalwijk
698,Go Ahead Eagles
699,Nijmegen
700,Groningen
701,Feyenoord
702,Zwolle
703,Cambuur
704,Twente
705,Willem II
706,Ajax
707,Vitesse
708,Feyenoord
709,Utrecht
710,Sparta Rotterdam
711,AZ Alkmaar
712,Heerenveen
713,Heracles
714,Groningen
715,Waalwijk
716,Heracles
717,Zwolle
718,For Sittard
719,Ajax
720,Cambuur
721,Vitesse
722,PSV Eindhoven
723,Feyenoord
724,Go Ahead Eagles
725,Heerenveen
726,For Sittard
727,PSV Eindhoven
728,AZ Alkmaar
729,Nijmegen
730,Sparta Rotterdam
731,Twente
732,Willem II
733,Utrecht
734,Zwolle
735,Waalwijk
736,Twente
737,Cambuur
738,Vitesse
739,Ajax
740,Groningen
741,PSV Eindhoven
742,Heracles
743,Heerenveen
744,AZ Alkmaar
745,Sparta Rotterdam
746,Nijmegen
747,Utrecht
748,Waalwijk
749,Go Ahead Eagles
750,Sp Lisbon
751,Arouca
752,Moreirense
753,Maritimo
754,Guimaraes
755,Tondela
756,Porto
757,Pacos Ferreira
758,Gil Vicente
759,Estoril
760,Vizela
761,Benfica
762,Sp Braga
763,Portimonense
764,Famalicao
765,Santa Clara
766,Boavista
767,Belenenses
768,Arouca
769,Moreirense
770,Gil Vicente
771,Sp Lisbon
772,Tondela
773,Maritimo
774,Guimaraes
775,Pacos Ferreira
776,Boavista
777,Belenenses
778,Estoril
779,Vizela
780,Porto
781,Famalicao
782,Benfica
783,Sp Braga
784,Portimonense
785,Santa Clara
786,Pacos Ferreira
787,Santa Clara
788,Sp Lisbon
789,Moreirense
790,Boavista
791,Gil Vicente
792,Guimaraes
793,Maritimo
794,Tondela
795,Portimonense
796,Famalicao
797,Belenenses
798,Arouca
799,Vizela
800,Porto
801,Estoril
802,Benfica
803,Sp Braga
804,Sp Lisbon
805,Gil Vicente
806,Moreirense
807,Guimaraes
808,Tondela
809,Santa Clara
810,Portimonense
811,Pacos Ferreira
812,Boavista
813,Maritimo
814,Famalicao
815,Vizela
816,Porto
817,Arouca
818,Belenenses
819,Benfica
820,Estoril
821,Sp Braga
822,Guimaraes
823,Santa Clara
824,Tondela
825,Sp Lisbon
826,Pacos Ferreira
827,Vizela
828,Portimonense
829,Gil Vicente
830,Boavista
831,Arouca
832,Porto
833,Estoril
834,Sp Lisbon
835,Maritimo
836,Belenenses
837,Famalicao
838,Sp Braga
839,Moreirense
840,Panetolikos
841,Panathinaikos
842,Volos NFC
843,PAOK
844,AEK
845,Olympiakos
846,Aris
847,Ionikos
848,Giannina
849,Apollon
850,Atromitos
851,OFI Crete
852,Asteras Tripolis
853,Lamia
854,OFI Crete
855,Olympiakos
856,Panetolikos
857,AEK
858,Aris
859,Ionikos
860,Volos NFC
861,Asteras Tripolis
862,Panathinaikos
863,Lamia
864,PAOK
865,Giannina
866,Apollon
867,Atromitos
868,Volos NFC
869,Aris
870,Atromitos
871,Panetolikos
872,OFI Crete
873,Ionikos
874,Olympiakos
875,Apollon
876,Panathinaikos
877,Panetolikos
878,PAOK
879,AEK
880,Giannina
881,Lamia
882,Atromitos
883,Apollon
884,Asteras Tripolis
885,Aris
886,Volos NFC
887,OFI Crete
888,Olympiakos
889,Panetolikos
890,PAOK
891,Lamia
892,Panathinaikos
893,AEK
894,Giannina
895,Ionikos
896,Molde
897,Honefoss
898,Odd
899,Stabaek
900,Tromso
901,Valerenga
902,Rosenborg
903,Sandnes
904,Brann
905,Stromsgodset
906,Fredrikstad
907,Haugesund
908,Sogndal
909,Viking
910,Lillestrom
911,Aalesund
912,Odd
913,Honefoss
914,Rosenborg
915,Sandnes
916,Stromsgodset
917,Tromso
918,Molde
919,Valerenga
920,Fredrikstad
921,Aalesund
922,Brann
923,Sogndal
924,Tromso
925,Lillestrom
926,Stabaek
927,Viking
928,Valerenga
929,Haugesund
930,Honefoss
931,Odd
932,Sandnes
933,Stromsgodset
934,Rosenborg
935,Molde
936,Aalesund
937,Lillestrom
938,Fredrikstad
939,Stabaek
940,Tromso
941,Viking
942,Sogndal
943,Brann
944,Rosenborg
945,Odd
946,Haugesund
947,Sandnes
948,Stromsgodset
949,Valerenga
950,Molde
951,Brann
952,Stabaek
953,Tromso
954,Aalesund
955,Fredrikstad
956,Honefoss
957,Sandnes
958,Sogndal
959,Lillestrom
960,Haugesund
961,Molde
962,Rosenborg
963,Stromsgodset
964,Viking
965,Brann
966,Odd
967,Fredrikstad
968,Honefoss
969,Aalesund
970,Lillestrom
971,Sandnes
972,Stabaek
973,Tromso
974,Rosenborg
975,Brann
976,Sogndal
977,Stromsgodset
978,Viking
979,Valerenga
980,Haugesund
981,Lillestrom
982,Molde
983,Honefoss
984,Sandnes
985,Stabaek
986,Tromso
987,Fredrikstad
988,Valerenga
989,Aalesund
990,Rosenborg
991,Sogndal
992,Brann
993,Haugesund
994,Lillestrom
995,Molde
996,Stromsgodset
997,Viking
998,Valerenga
999,Honefoss
1000,Tromso
1001,Aalesund
1002,Odd
1003,Sandnes
1004,Stabaek
1005,Rosenborg
1006,Fredrikstad
1007,Odd
1008,Lillestrom
1009,Valerenga
1010,Aalesund
1011,Brann
1012,Sogndal
1013,Viking
1014,Haugesund
1015,Stromsgodset
1016,Haugesund
1017,Molde
1018,Brann
1019,Fredrikstad
1020,Odd
1021,Stabaek
1022,Rosenborg
1023,Stromsgodset
1024,Lillestrom
1025,Aalesund
1026,Honefoss
1027,Sogndal
1028,Viking
1029,Tromso
1030,Valerenga
1031,Haugesund
1032,Honefoss
1033,Molde
1034,Fredrikstad
1035,Odd
1036,Sandnes
1037,Rosenborg
1038,Stabaek
1039,Valerenga
1040,Brann
1041,Lillestrom
1042,Sogndal
1043,Stabaek
1044,Tromso
1045,Viking
1046,Aalesund
1047,Odd
1048,Stromsgodset
1049,Haugesund
1050,Honefoss
1051,Molde
1052,Sandnes
1053,Rosenborg
1054,Fredrikstad
1055,Valerenga
1056,Lillestrom
1057,Aalesund
1058,Haugesund
1059,Sogndal
1060,Viking
1061,Brann
1062,Stabaek
1063,Stromsgodset
1064,Molde
1065,Fredrikstad
1066,Honefoss
1067,Odd
1068,Sandnes
1069,Rosenborg
1070,Tromso
1071,Viking
1072,Aalesund
1073,Haugesund
1074,Odd
1075,Sogndal
1076,Stabaek
1077,Brann
1078,Valerenga
1079,Rosenborg
1080,Lillestrom
1081,Honefoss
1082,Molde
1083,Sandnes
1084,Tromso
1085,Stromsgodset
1086,Fredrikstad
1087,Valerenga
1088,Viking
1089,Haugesund
1090,Molde
1091,Sogndal
1092,Stabaek
1093,Odd
1094,Brann
1095,Rosenborg
1096,Lillestrom
1097,Aalesund
1098,Honefoss
1099,Tromso
1100,Viking
1101,Stromsgodset
1102,Fredrikstad
1103,Haugesund
1104,Sandnes
1105,Odd
1106,Sogndal
1107,Stabaek
1108,Valerenga
1109,Molde
1110,Brann
1111,Fredrikstad
1112,Tromso
1113,Aalesund
1114,Honefoss
1115,Lillestrom
1116,Viking
1117,Stromsgodset
1118,Sogndal
1119,Sandnes
1120,Brann
1121,Haugesund
1122,Molde
1123,Odd
1124,Rosenborg
1125,Sandnes
1126,Stabaek
1127,Valerenga
1128,Aalesund
1129,Fredrikstad
1130,Honefoss
1131,Lillestrom
1132,Sogndal
1133,Stromsgodset
1134,Tromso
1135,Viking
1136,Ull/Kisa
1137,Sandnes
1138,Viking
1139,Aalesund
1140,Brann
1141,Lillestrom
1142,Sogndal
1143,Start
1144,Stromsgodset
1145,Odd
1146,Tromso
1147,Rosenborg
1148,Sandnes
1149,Sarpsborg 08
1150,Valerenga
1151,Honefoss
1152,Molde
1153,Odd
1154,Start
1155,Brann
1156,Stromsgodset
1157,Aalesund
1158,Lillestrom
1159,Sandnes
1160,Sogndal
1161,Rosenborg
1162,Molde
1163,Valerenga
1164,Sarpsborg 08
1165,Honefoss
1166,Tromso
1167,Viking
1168,Lillestrom
1169,Start
1170,Odd
1171,Brann
1172,Aalesund
1173,Sandnes
1174,Sogndal
1175,Stromsgodset
1176,Haugesund
1177,Haugesund
1178,Brann
1179,Lillestrom
1180,Valerenga
1181,Viking
1182,Rosenborg
1183,Sarpsborg 08
1184,Tromso
1185,Molde
1186,Sandnes
1187,Aalesund
1188,Odd
1189,Haugesund
1190,Honefoss
1191,Stromsgodset
1192,Sogndal
1193,Start
1194,Rosenborg
1195,Valerenga
1196,Viking
1197,Lillestrom
1198,Molde
1199,Odd
1200,Sarpsborg 08
1201,Brann
1202,Haugesund
1203,Sandnes
1204,Sogndal
1205,Stromsgodset
1206,Tromso
1207,Start
1208,Aalesund
1209,Honefoss
1210,Brann
1211,Lillestrom
1212,Molde
1213,Stromsgodset
1214,Valerenga
1215,Viking
1216,Rosenborg
1217,Odd
1218,Start
1219,Aalesund
1220,Haugesund
1221,Honefoss
1222,Rosenborg
1223,Tromso
1224,Sarpsborg 08
1225,Sandnes
1226,Stromsgodset
1227,Molde
1228,Valerenga
1229,Lillestrom
1230,Odd
1231,Sogndal
1232,Viking
1233,Brann
1234,Sarpsborg 08
1235,Valerenga
1236,Rosenborg
1237,Tromso
1238,Aalesund
1239,Honefoss
1240,Sandnes
1241,Haugesund
1242,Brann
1243,Molde
1244,Stromsgodset
1245,Sogndal
1246,Lillestrom
1247,Odd
1248,Start
1249,Viking
1250,Aalesund
1251,Haugesund
1252,Tromso
1253,Rosenborg
1254,Sandnes
1255,Sarpsborg 08
1256,Valerenga
1257,Honefoss
1258,Honefoss
1259,Molde
1260,Start
1261,Haugesund
1262,Sandnes
1263,Sarpsborg 08
1264,Tromso
1265,Rosenborg
1266,Aalesund
1267,Lillestrom
1268,Stromsgodset
1269,Brann
1270,Odd
1271,Sogndal
1272,Viking
1273,Valerenga
1274,Molde
1275,Start
1276,Viking
1277,Sarpsborg 08
1278,Haugesund
1279,Honefoss
1280,Rosenborg
1281,Tromso
1282,Brann
1283,Sogndal
1284,Odd
1285,Aalesund
1286,Haugesund
1287,Sandnes
1288,Stromsgodset
1289,Valerenga
1290,Molde
1291,Rosenborg
1292,Start
1293,Honefoss
1294,Sarpsborg 08
1295,Tromso
1296,Viking
1297,Lillestrom
1298,Sogndal
1299,Odd
1300,Aalesund
1301,Stromsgodset
1302,Haugesund
1303,Honefoss
1304,Valerenga
1305,Sandnes
1306,Brann
1307,Lillestrom
1308,Rosenborg
1309,Start
1310,Sarpsborg 08
1311,Tromso
1312,Viking
1313,Molde
1314,Aalesund
1315,Sogndal
1316,Haugesund
1317,Stromsgodset
1318,Honefoss
1319,Sandnes
1320,Valerenga
1321,Tromso
1322,Rosenborg
1323,Lillestrom
1324,Brann
1325,Sarpsborg 08
1326,Molde
1327,Odd
1328,Start
1329,Viking
1330,Sogndal
1331,Honefoss
1332,Aalesund
1333,Haugesund
1334,Sandnes
1335,Tromso
1336,Valerenga
1337,Sarpsborg 08
1338,Brann
1339,Viking
1340,Stromsgodset
1341,Start
1342,Lillestrom
1343,Molde
1344,Odd
1345,Rosenborg
1346,Sarpsborg 08
1347,Tromso
1348,Start
1349,Honefoss
1350,Haugesund
1351,Sandnes
1352,Sogndal
1353,Aalesund
1354,Viking
1355,Valerenga
1356,Molde
1357,Lillestrom
1358,Brann
1359,Odd
1360,Sogndal
1361,Stromsgodset
1362,Aalesund
1363,Haugesund
1364,Honefoss
1365,Rosenborg
1366,Sandnes
1367,Sarpsborg 08
1368,Start
1369,Tromso
1370,Brann
1371,Lillestrom
1372,Molde
1373,Odd
1374,Sogndal
1375,Stromsgodset
1376,Valerenga
1377,Viking
1378,Sarpsborg 08
1379,Ranheim
1380,Molde
1381,Haugesund
1382,Rosenborg
1383,Bodo/Glimt
1384,Sandnes
1385,Stabaek
1386,Stromsgodset
1387,Sarpsborg 08
1388,Viking
1389,Odd
1390,Aalesund
1391,Start
1392,Lillestrom
1393,Sogndal
1394,Valerenga
1395,Brann
1396,Sandnes
1397,Lillestrom
1398,Haugesund
1399,Stabaek
1400,Bodo/Glimt
1401,Sarpsborg 08
1402,Stromsgodset
1403,Rosenborg
1404,Aalesund
1405,Valerenga
1406,Viking
1407,Brann
1408,Molde
1409,Odd
1410,Sogndal
1411,Bodo/Glimt
1412,Stromsgodset
1413,Haugesund
1414,Rosenborg
1415,Sandnes
1416,Stabaek
1417,Start
1418,Lillestrom
1419,Sarpsborg 08
1420,Brann
1421,Sandnes
1422,Aalesund
1423,Bodo/Glimt
1424,Molde
1425,Odd
1426,Valerenga
1427,Sogndal
1428,Haugesund
1429,Sarpsborg 08
1430,Lillestrom
1431,Rosenborg
1432,Stromsgodset
1433,Start
1434,Stabaek
1435,Viking
1436,Bodo/Glimt
1437,Aalesund
1438,Odd
1439,Sogndal
1440,Stabaek
1441,Valerenga
1442,Molde
1443,Sandnes
1444,Aalesund
1445,Brann
1446,Haugesund
1447,Lillestrom
1448,Start
1449,Viking
1450,Rosenborg
1451,Stromsgodset
1452,Valerenga
1453,Sarpsborg 08
1454,Bodo/Glimt
1455,Molde
1456,Odd
1457,Sandnes
1458,Sogndal
1459,Stabaek
1460,Haugesund
1461,Lillestrom
1462,Stromsgodset
1463,Aalesund
1464,Sogndal
1465,Start
1466,Viking
1467,Brann
1468,Sarpsborg 08
1469,Stromsgodset
1470,Valerenga
1471,Molde
1472,Odd
1473,Sandnes
1474,Stabaek
1475,Rosenborg
1476,Bodo/Glimt
1477,Brann
1478,Sogndal
1479,Start
1480,Aalesund
1481,Lillestrom
1482,Haugesund
1483,Viking
1484,Molde
1485,Stromsgodset
1486,Sarpsborg 08
1487,Stabaek
1488,Start
1489,Viking
1490,Rosenborg
1491,Odd
1492,Aalesund
1493,Sogndal
1494,Bodo/Glimt
1495,Lillestrom
1496,Sandnes
1497,Brann
1498,Haugesund
1499,Valerenga
1500,Stabaek
1501,Start
1502,Stromsgodset
1503,Molde
1504,Odd
1505,Rosenborg
1506,Viking
1507,Sarpsborg 08
1508,Aalesund
1509,Sandnes
1510,Haugesund
1511,Bodo/Glimt
1512,Molde
1513,Sogndal
1514,Brann
1515,Valerenga
1516,Lillestrom
1517,Stromsgodset
1518,Viking
1519,Odd
1520,Aalesund
1521,Sarpsborg 08
1522,Start
1523,Stabaek
1524,Brann
1525,Valerenga
1526,Odd
1527,Molde
1528,Rosenborg
1529,Sandnes
1530,Sogndal
1531,Haugesund
1532,Start
1533,Viking
1534,Aalesund
1535,Stabaek
1536,Bodo/Glimt
1537,Brann
1538,Sarpsborg 08
1539,Lillestrom
1540,Sandnes
1541,Stromsgodset
1542,Valerenga
1543,Odd
1544,Haugesund
1545,Rosenborg
1546,Sogndal
1547,Molde
1548,Sarpsborg 08
1549,Aalesund
1550,Bodo/Glimt
1551,Lillestrom
1552,Stabaek
1553,Start
1554,Viking
1555,Brann
1556,Rosenborg
1557,Odd
1558,Stromsgodset
1559,Sandnes
1560,Sogndal
1561,Start
1562,Valerenga
1563,Molde
1564,Brann
1565,Bodo/Glimt
1566,Valerenga
1567,Viking
1568,Aalesund
1569,Lillestrom
1570,Sarpsborg 08
1571,Haugesund
1572,Sandnes
1573,Molde
1574,Sogndal
1575,Stromsgodset
1576,Stabaek
1577,Odd
1578,Start
1579,Rosenborg
1580,Lillestrom
1581,Aalesund
1582,Viking
1583,Sarpsborg 08
1584,Bodo/Glimt
1585,Haugesund
1586,Valerenga
1587,Brann
1588,Brann
1589,Start
1590,Molde
1591,Stromsgodset
1592,Odd
1593,Sandnes
1594,Stabaek
1595,Rosenborg
1596,Valerenga
1597,Haugesund
1598,Rosenborg
1599,Sarpsborg 08
1600,Lillestrom
1601,Sogndal
1602,Viking
1603,Bodo/Glimt
1604,Aalesund
1605,Brann
1606,Lillestrom
1607,Odd
1608,Stabaek
1609,Start
1610,Stromsgodset
1611,Viking
1612,Bodo/Glimt
1613,Haugesund
1614,Molde
1615,Rosenborg
1616,Sandnes
1617,Sarpsborg 08
1618,Sogndal
1619,Valerenga
1620,Brann
1621,Mjondalen
1622,Mjondalen
1623,Rosenborg
1624,Sandefjord
1625,Stabaek
1626,Tromso
1627,Valerenga
1628,Lillestrom
1629,Molde
1630,Sarpsborg 08
1631,Bodo/Glimt
1632,Stromsgodset
1633,Aalesund
1634,Haugesund
1635,Odd
1636,Start
1637,Viking
1638,Valerenga
1639,Mjondalen
1640,Rosenborg
1641,Bodo/Glimt
1642,Molde
1643,Sandefjord
1644,Stabaek
1645,Tromso
1646,Start
1647,Odd
1648,Viking
1649,Aalesund
1650,Haugesund
1651,Lillestrom
1652,Sarpsborg 08
1653,Stromsgodset
1654,Molde
1655,Sarpsborg 08
1656,Bodo/Glimt
1657,Sandefjord
1658,Tromso
1659,Valerenga
1660,Mjondalen
1661,Rosenborg
1662,Stromsgodset
1663,Aalesund
1664,Start
1665,Haugesund
1666,Lillestrom
1667,Stabaek
1668,Odd
1669,Viking
1670,Mjondalen
1671,Rosenborg
1672,Valerenga
1673,Sandefjord
1674,Bodo/Glimt
1675,Sarpsborg 08
1676,Viking
1677,Molde
1678,Mjondalen
1679,Tromso
